PurchaseDate|PurchaseId|custId|productId|quantity|discountpercentage
02/23/20|9D5B60E4-34CB-965C-A319-A007CECED3A4|2738|81926CF5-CE31-87E8-71F3-3307CC3870D6|2|1
02/14/20|27F1D500-D55D-D4F4-6FCC-B2522DA84098|3033|1AF23974-3912-3CC0-B77E-3C158400A15E|3|10
02/12/20|8C47901D-7A2B-E77F-F27F-5C7C88EC07F6|2245|993536D8-2899-2F2E-B77D-8D369D5B6AC2|2|7
02/28/20|50F28D9F-2818-4AEE-521B-940B0F6C92DC|1583|A45D2264-7AD0-DA2E-2522-96D3AA5B8239|4|10
02/05/20|47544B0E-90B0-0CC1-BD3C-EB9F83294D6A|1556|9F9A5265-480C-CD7C-1AB2-C552514D727E|4|10
02/05/20|31BF0C8B-A86C-B11F-9727-8767FC0DBAA1|3583|6107BBC9-09DA-0E3D-B266-DABF566A088F|4|8
02/05/20|A0AF4D36-E9AE-17A6-8445-2D64215C062F|1928|916CA07C-7273-0CAC-C80F-B3FAB21B238B|6|9
02/05/20|22B1DCAC-52DB-D677-68B8-95CC04D77C83|2573|378A0121-3136-E71F-B76E-629CC5C97214|6|2
02/19/20|709C4B69-0CD4-0194-14B1-F66A127A49E1|3456|341EF92C-A502-595E-EA70-9EA77D3BFA1F|6|1
02/05/20|335944CB-C5F7-15DE-19D6-008D128DD4DA|1202|F40E33C5-AAB1-69E7-F5F1-85B907A2FA9F|4|1
02/12/20|9757ABC1-4358-DE97-7EFB-5DE05C37E74E|1418|2C89FA4C-5449-C934-6B3F-178326A9DC79|6|8
02/02/20|30E952E0-B4A0-3E8B-4DFF-A30CFD141F1B|3850|342FF005-9FDA-A4C2-7AB0-114860408FE4|3|7
02/02/20|ACB02627-2082-BB30-D52E-9AE01C03D415|3719|2903A8E3-180C-D46B-7E42-E975790367AB|5|3
02/28/20|A0AB155A-3839-048E-A0AC-E48F004D40B3|3711|150ABFF7-EB2D-A877-E69C-376BAF9C712B|5|5
02/12/20|A7170E82-155A-18AC-70F8-54085D0F5770|1930|F77C5CD4-602D-C6EF-3E44-3DD4AD2FA8BD|6|5
02/05/20|5D4B63EB-7787-4EBA-90B1-257B37F7B7CB|3272|248C3D29-5345-E59F-E1E2-018D07F108D2|3|8
02/15/20|0B0D2C05-9CBD-8321-0EB2-53E5888C7A76|1218|DBFC696D-9551-E6A9-C258-A5E8ACF8E301|1|2
02/21/20|78A82C2E-6270-A5F7-2ACC-1FB1CA0401A6|2276|858BCCAC-BB39-5D41-3367-E30673995115|6|10
02/28/20|43040699-70E8-1064-6571-F7FBCB151510|1924|8287FC07-EEBB-88F9-5D47-C0306F60B1DA|4|2
02/01/20|1942F09D-2447-CF74-806F-C75827B67BA4|3963|15ACB3E2-2121-F758-38A1-38F822A5BD8E|3|7
02/22/20|CE7A37C3-139B-1A82-60A5-706BA917C91B|2982|F40E33C5-AAB1-69E7-F5F1-85B907A2FA9F|2|6
02/13/20|8477D685-39D1-7780-FA59-A771D94BD387|1807|7781FD8F-C058-D11D-3F34-DFBB94540A38|5|9
02/02/20|E66BF481-A7FA-5B18-3687-827A2261B867|3065|986D4CB6-0F3E-7385-C5DA-321A7AC06B60|1|8
02/11/20|6C2CF8B8-9CBE-C7E7-0DF5-538A04E809CF|1169|A45D2264-7AD0-DA2E-2522-96D3AA5B8239|5|3
02/20/20|5ED4EAA9-4ECD-A37F-8920-7586CD673081|1538|8298DD3A-FC12-8B15-BEDF-F1F5929EBC81|6|7
02/16/20|6F9448C9-453C-DA93-2237-543A1279C92F|1936|1140270A-3BD2-C62E-430B-031369BC608B|5|9
02/23/20|78283F45-ECFE-A79F-C432-72568D07D6F5|2689|35332E83-7A82-98D1-BEEE-EB70E0A5D07A|5|10
02/09/20|C1839D77-00BB-F868-7281-4FDED00534C7|1677|A0622BF5-3972-F2CD-34BB-A66CA7152F2B|2|4
02/01/20|24BFCC70-83A0-7528-539E-9D0CAF211C67|2484|0667C3F6-90CE-83F2-61A0-EEE4353058FC|3|9
02/04/20|E7B0C678-EF8B-CC2F-147C-4D726B3FC872|1607|B73759C2-90CD-62F3-B45A-6784B9DE977A|2|3
02/18/20|30DDCF5B-F495-CE8D-5D44-73C28BB48303|1152|DAA47309-CBD0-217D-EA81-BBA01DE6B384|5|1
02/13/20|91F8CC95-4422-E33F-61FD-1002DFA23055|3399|45FE57F9-6288-6213-4BB9-581F0EC658BF|5|6
02/24/20|3A9C2C7D-93D3-0268-AFBE-78FFAE12C2AE|1645|AD4CF58A-FA71-2944-43B2-44F8D79C5240|3|4
02/26/20|60F87920-2DD6-BAC0-750C-2896226B143D|2690|A45D2264-7AD0-DA2E-2522-96D3AA5B8239|5|4
02/18/20|1C8F2E9D-6395-E8B4-7869-7F9ADA3067F2|1403|0714B525-5B92-323B-4229-200969999C6A|4|1
02/20/20|AB758515-FEF8-1FDA-97CD-3F42867AC753|1458|EAD67B97-390D-3D72-191A-09C494A92214|4|10
02/12/20|052ADD0B-8AFE-DBE6-C728-004EBC5D4969|1116|BE864640-DDC2-0E9B-778C-F47155822770|5|6
02/02/20|FAC8E3CC-6448-FA87-1FF7-312E813DB6DE|1702|158E0ADE-06E9-CCD7-C137-1501253276A2|2|7
02/11/20|AE6E7351-54A0-7D18-DFB4-FDCBCA31BAF3|1175|D026F82E-9789-C99E-103D-7BF5E69FB11C|2|7
02/08/20|C92D2DB7-AB13-4095-C0B7-CF8DA59EF6EA|1401|CF3499ED-FE5B-9813-532D-4BD9FD336BB9|1|7
02/07/20|23BBCFCA-5409-D7ED-65B6-EDF8A0369B41|1984|CA45D083-9F0F-92CD-BF3C-B49EA458D0BB|4|4
02/20/20|D9530DA9-60E0-BD6A-1126-BBAAE5413FDA|3220|45FE57F9-6288-6213-4BB9-581F0EC658BF|1|10
02/23/20|F361772A-1186-C3C0-03DB-8312DD7FF8CD|3986|36074CD1-CAFA-B37A-36AC-389623CB2B33|1|1
02/12/20|08D62CAB-FF32-3F8A-F35B-A20BA1ACBB28|3514|D67CF95A-8B19-BC11-22A9-BC3496A59506|1|3
02/17/20|905A37D8-A954-41D5-06B9-CD2AA1F82D2D|1117|AFB9EAFE-96EF-17C7-F463-7797CD643E16|1|8
02/27/20|645195E4-AE17-0D86-6349-655909E71AB9|1644|FEE467C2-C123-867C-036D-C3D6D5BC45B6|2|8
02/02/20|B2CC3BE1-467A-3219-2C35-86279E9DA191|1061|370EDA09-245D-2259-19CD-4564E06568AC|5|3
02/07/20|3AEA976B-F5A5-5706-5A72-66D9317813C9|3895|A29E7AE7-F517-AEC3-B0C6-432E60E3128C|1|9
02/02/20|F8FF7D7E-4735-C6D6-C599-F56F88B1175B|3748|CDD73605-6ED9-B631-CBB1-E4F618573D3D|2|8
02/01/20|83BB630D-C67A-0787-58B4-D3BAFBAE0948|2907|D464D3A6-D12E-8CED-70F4-58F5D0BF1781|1|9
02/21/20|71AB80C7-16B0-085A-41AC-E823BAE69DD2|2712|523C1C5C-7114-3836-4DE2-93CECD4D7502|1|9
02/28/20|225BF58A-2839-ECA4-7209-7397EE37A955|1754|7A076757-45B5-CE04-E9D3-AE25F5658F8E|4|10
02/04/20|BE55BEF8-F559-7791-8139-A860833C6C1A|2601|3CE5564C-459D-9A33-1898-720DC77CD236|1|1
02/09/20|D78183B7-A0B8-EE95-AB9F-8B637A8E4BA5|3491|CBCFD204-B92C-E3C1-92E2-0FC1B9F10762|5|5
02/14/20|A323EEEE-593A-0EB9-7FDE-FA026787C83D|2320|531B7179-5260-26EA-ACC1-3DFCD4821718|2|7
02/26/20|57EB52C9-BF69-D089-DD97-32C72580C66D|1622|44029838-779C-D935-09E8-F2BE4B7677E8|3|10
02/23/20|3B2B1217-A102-C2D2-9A5F-4314C45A23B8|2636|CF1576A9-827C-5063-C5AC-566EEFD93A7C|1|8
02/02/20|D24FD8F9-CC4F-3712-2960-88E5B44ADA64|3436|0667C3F6-90CE-83F2-61A0-EEE4353058FC|1|1
02/07/20|9CE75469-DDB0-206D-FF17-710E510CE644|3132|BE17B6A3-46A8-9A48-1D93-471E9DCD7C76|3|3
02/04/20|8A3B61C1-ABCC-CE2A-2DD9-21444D59C866|3159|7FD4DC9A-9166-8CD5-F301-1F63788CCE2A|2|7
02/15/20|AA52649E-A4B2-30C2-182B-89A083AB899F|2596|82DEFCDC-E832-7962-32A9-9A92D0DDE78C|2|3
02/15/20|55B5AFAA-3626-8984-7220-B7BB701F5696|2539|250F6235-1056-C428-4906-076D90F73E5E|5|3
02/24/20|AD8E79CA-B53F-23BF-028E-014FE601F1EA|1615|B4C84934-7BDA-9F4D-1D17-CD5722896436|4|3
02/24/20|6C724E08-38B9-5465-4B01-F2BFDCADBE19|1474|4415693F-BFBD-11D5-F4FD-9EA3821B0C2F|2|3
02/26/20|30741AD4-00FD-EFE0-6B05-73C82684671B|2627|C1B3398D-475F-57B8-FCB5-811E3CAC0763|6|8
02/03/20|74FA5F30-702F-575A-DC7E-899EFDC9871B|3604|E6E6EA47-1D2F-4E83-9DB1-822DE4C6A133|2|6
02/07/20|EC4FEE13-23FB-9018-CD0A-1F19C9A2906A|1957|33819010-234D-48FC-2611-FF805F216131|5|2
02/21/20|B88C921F-DE97-79D8-F2AF-B0CD8647705C|1350|9172C443-4433-E17D-A27E-C0E9F16ABEB0|2|3
02/26/20|52D44971-BAF2-9771-C7F3-7D27BC2CF93A|2754|673FE64F-2665-0C5E-0DFD-2ADAB313DECF|2|6
02/13/20|F20505BC-2069-59CA-2743-3D500F8AA387|2178|CB5FB258-6FD1-5642-677F-2FFF8EFFEA1A|1|9
02/21/20|4051F0FA-492C-FCBD-E4A4-0D44A67CA399|1155|5552DE17-B04D-A3C6-0B74-31FBA8D1C846|2|1
02/16/20|913B9F0E-9B26-E448-EDF3-1F65B648B774|1348|574234BA-602F-2671-3A5A-D63C152423D2|3|1
02/12/20|322F0ECA-681C-2A14-E478-FF6F3EC64730|1146|BE4548AA-D643-34AF-AF02-1C0E3E6D8CAB|1|3
02/10/20|2EF71D41-C8EE-D135-497A-B99A3B90E900|1017|A580991C-C164-FFB2-B166-AA5897F3BE44|5|8
02/01/20|2E06AD8C-C72C-B34D-D41F-935180BE5203|2132|AA3E940B-9F39-5149-0285-13D21CB6D5C6|2|5
02/17/20|ECDC78E8-79AA-2B3F-FA24-1C871A31C8DA|1229|4D895427-0B63-319F-DD6E-DF17D5817D95|4|5
02/08/20|790F1D0F-8CD4-0A9A-FB73-F01411166B21|2085|82DEFCDC-E832-7962-32A9-9A92D0DDE78C|4|5
02/19/20|28F5CED4-6575-62FD-1B89-3BD5EC0F6B9A|1675|20D436DB-2B18-1554-0A25-325579E562A8|6|7
02/13/20|28BDC97D-4C5C-4B2F-09ED-FB66E8424670|1557|61231F7D-AA02-951C-EEA3-005A62EE4C42|1|7
02/01/20|EC6DF8DE-A757-D1B6-458F-82A934B18B00|1700|C986FCCF-1A72-F55A-DC0C-D0A0E0CAA850|2|2
02/19/20|B3196CBA-8B76-77D7-0A6B-78E444EAF178|3334|5D30B413-C93E-7CF0-42AE-11CF2DD44C97|5|6
02/09/20|984428B0-B88E-865E-0136-C69BA6006396|2109|7169B72E-A1E6-A830-FBDA-A762C39402C6|2|10
02/18/20|92908900-7D39-2E74-3E5D-FB81D1D32F88|3885|F6005C1C-0075-BCD0-1B06-B581BE4EFFAC|2|10
02/03/20|038588C3-BA2B-615E-EA71-5FC3F411E6DA|1703|8EC4D459-17A0-BE8F-8D1B-C37BD8029608|2|3
02/24/20|EB6EC0A0-3C6E-F639-5F13-3524B8A4AAD9|2038|BCA9D6C9-8DE2-8327-8978-228B61D99C99|6|10
02/25/20|E8042A82-EB62-B781-644F-726A5E509B78|2868|D42E6D06-AFB4-2658-A1C3-5359378B5A95|2|7
02/26/20|D6900BE0-790A-921A-6BD4-FA01328C8C71|2483|88E04A22-07F6-5440-39DD-4FF36EB211AF|2|7
02/25/20|291DC539-BC25-AFAE-8A95-367EE19B0315|3116|65EEC448-0C76-F8FE-0F1E-98454824C232|5|5
02/17/20|A7B813FD-C644-18A5-DBA6-734A6AFD30EB|1220|993536D8-2899-2F2E-B77D-8D369D5B6AC2|3|4
02/25/20|0144334E-1F3D-1C0A-D869-5C2ADD2D63EC|2662|33999A98-9769-C466-DEAF-AAF0384F1F4F|2|7
02/16/20|9BFD7D61-4D57-5306-6E0F-D4A679C457CA|2265|E0EB24C5-FE2A-F211-3263-6FAAE141F326|1|5
02/17/20|65D0EFFC-E3EB-484C-EC76-7B3409552CEA|1627|FFB98D46-62BC-57F5-93E0-C9328AFEF76F|4|1
02/20/20|B09F1584-ABDD-7E84-5EB6-950540B02900|2427|402F972B-D635-F48E-7376-A89961863EB1|6|8
02/21/20|05810A8E-418F-2853-378D-551DB68DFBF8|1945|FD6A5A27-C0FA-3788-83A0-90D2B7F7D267|4|5
02/22/20|D7D9F238-9AE9-ED4F-2D79-89413E60A37F|3985|FE664049-8984-1A85-AEC4-0DB62FB4F218|5|1
02/22/20|6E36C2EA-2314-01E7-D788-DC7FD0AABCEA|1042|02A694B1-7BAD-AAEF-465B-704BA1D564F1|5|2
02/02/20|4DD638F3-09A5-DC0F-ECDD-77277C2B68A4|3531|0A667CB5-CF29-A6CD-DE87-00C848F44A25|3|4
02/03/20|C51C990F-809F-1603-FEB7-ED2CAE36ED21|2095|5523DF0F-C882-B0B4-DD5F-4DDF14BABA5C|3|3
02/23/20|DA98A892-5097-4F7B-28E6-38F9E7221B60|3466|26C4852B-2619-9951-CA94-D0FC547CEBC1|4|2
02/27/20|5CA82BA5-02B0-A713-55CA-569942993E1A|3962|62B355EA-8186-D71F-D244-2304D6CEDC95|2|2
02/17/20|3B14DBFA-B880-110C-141E-8B63C61C9AB1|1541|0EE83810-32DF-1FAA-B123-0CF887A76E38|2|3
02/05/20|6322761B-6E73-31C1-0A00-C2C25EC26A66|3214|B109433D-D52C-6478-EBDA-BCCAA5004B23|5|10
02/09/20|C4995FE1-BC49-8ECD-CE06-0B7CC48D2FF7|1781|F5A2E7EE-630D-2828-EF78-F32F9722DF84|3|5
02/19/20|7EF6D09A-7BB3-1A26-7A68-87DD1AD9AE70|1112|2CB90254-5511-C842-22D9-C7CA0235C2B0|1|3
02/06/20|3F721012-721B-13C7-5582-6885F662BB84|2445|3CE5564C-459D-9A33-1898-720DC77CD236|6|5
02/22/20|0026BE44-9D9D-3A24-393F-79B54524E50D|3201|DBC5A48C-36FF-BAF6-7349-589AB15BA7B6|2|1
02/04/20|B132153B-304E-1172-D21E-18D5F7AC00A2|1171|B66A8C10-6BA8-C938-EB85-3BEBD41A0CB6|4|3
02/13/20|0A3E0D09-BC96-7871-E4C1-6DA9AA96C8CB|3126|C986FCCF-1A72-F55A-DC0C-D0A0E0CAA850|1|3
02/19/20|BF5842C9-0D9E-EEA1-B88D-3E1FE39311FE|1079|208E8EB7-4746-4BFE-8190-BBC7C863D944|4|1
02/13/20|B8B34BBA-DCDE-D38C-1B5E-5BA3982C5388|3152|FD6A5A27-C0FA-3788-83A0-90D2B7F7D267|1|6
02/08/20|FE3D6C5E-F9E7-AC73-BCCE-528265595FA4|2828|CF1576A9-827C-5063-C5AC-566EEFD93A7C|6|6
02/11/20|EC6B0838-A4B3-034E-63F8-DC7E7F24250C|2611|D86D3756-CA0B-C238-8B42-21C3F199592D|3|4
02/23/20|A052A178-66CC-2210-91A2-40EC0B8C9DE5|1819|F0CBDF5F-49BF-6C72-4F9F-4A4295C2BE52|5|10
02/08/20|92BB7F9A-46B6-5ED3-8661-54A337711C16|2194|FC798F75-6303-CE91-2DFE-65A6039F014F|3|8
02/23/20|24760E33-49AE-1710-BD8F-E6A14B74649F|3168|11302370-9EC7-2AC4-081A-8A2BD24E31D7|1|3
02/12/20|F234960A-E459-23A1-337C-EF8F859F9AFB|1382|C1B3398D-475F-57B8-FCB5-811E3CAC0763|4|2
